subscription_id,customer_id,plan_type,product_category_key,lifetime_days,is_churned,estimated_mrr,churn_probability,risk_band
SUB00001,CUST00003,monthly,skincare,861,False,15.72,0.3278,Low
SUB00002,CUST00004,quarterly,wellness_bundle,861,False,8.43,0.6627,High
SUB00003,CUST00022,quarterly,supplements,180,True,0.0,0.9122,High
SUB00004,CUST00028,monthly,wellness_bundle,886,False,30.48,0.0771,Low
SUB00005,CUST00033,quarterly,haircare,874,False,5.63,0.7198,High
SUB00006,CUST00034,monthly,supplements,210,True,0.0,0.9774,High
SUB00007,CUST00036,monthly,supplements,270,True,0.0,0.8565,High
SUB00008,CUST00040,monthly,supplements,300,True,0.0,0.6914,High
SUB00009,CUST00044,monthly,supplements,270,True,0.0,0.8738,High
SUB00010,CUST00048,monthly,skincare,866,False,14.94,0.3319,Medium
SUB00011,CUST00050,monthly,skincare,30,True,0.0,0.9999,High
SUB00012,CUST00052,monthly,skincare,180,True,0.0,0.9879,High
SUB00013,CUST00053,monthly,supplements,150,True,0.0,0.9977,High
SUB00014,CUST00067,monthly,supplements,270,True,0.0,0.8633,High
SUB00015,CUST00068,quarterly,skincare,878,False,6.32,0.7282,High
SUB00016,CUST00070,monthly,supplements,330,True,0.0,0.4275,Medium
SUB00017,CUST00071,quarterly,skincare,90,True,0.0,0.9612,High
SUB00018,CUST00074,monthly,supplements,859,False,12.19,0.4252,Medium
SUB00019,CUST00079,monthly,wellness_bundle,858,False,30.71,0.2123,Low
SUB00020,CUST00081,quarterly,skincare,860,False,6.22,0.733,High
SUB00021,CUST00082,quarterly,skincare,885,False,6.36,0.4406,Medium
SUB00022,CUST00084,monthly,haircare,881,False,16.59,0.1634,Low
SUB00023,CUST00088,monthly,haircare,150,True,0.0,0.9971,High
SUB00024,CUST00090,monthly,skincare,60,True,0.0,0.9999,High
SUB00025,CUST00095,monthly,skincare,90,True,0.0,0.9996,High
SUB00026,CUST00100,quarterly,wellness_bundle,877,False,10.47,0.685,High
SUB00027,CUST00101,monthly,haircare,90,True,0.0,0.9996,High
SUB00028,CUST00102,monthly,skincare,30,True,0.0,1.0,High
SUB00029,CUST00109,monthly,supplements,885,False,12.68,0.2019,Low
SUB00030,CUST00111,monthly,haircare,90,True,0.0,0.9997,High
SUB00031,CUST00113,quarterly,haircare,875,False,5.41,0.7244,High
SUB00032,CUST00118,quarterly,skincare,180,True,0.0,0.8934,High
SUB00033,CUST00119,monthly,skincare,300,True,0.0,0.5892,Medium
SUB00034,CUST00120,quarterly,supplements,883,False,5.91,0.5717,Medium
SUB00035,CUST00122,monthly,supplements,885,False,14.43,0.1919,Low
SUB00036,CUST00123,monthly,supplements,90,True,0.0,0.9997,High
SUB00037,CUST00126,monthly,supplements,240,True,0.0,0.95,High
SUB00038,CUST00130,quarterly,supplements,884,False,5.96,0.5497,Medium
SUB00039,CUST00134,monthly,supplements,240,True,0.0,0.9447,High
SUB00040,CUST00136,quarterly,supplements,270,True,0.0,0.7782,High
SUB00041,CUST00138,quarterly,haircare,878,False,5.11,0.7441,High
SUB00042,CUST00142,monthly,supplements,30,True,0.0,1.0,High
SUB00043,CUST00144,quarterly,supplements,860,False,4.89,0.7808,High
SUB00044,CUST00145,monthly,haircare,210,True,0.0,0.9744,High
SUB00045,CUST00147,quarterly,supplements,884,False,6.01,0.5484,Medium
SUB00046,CUST00148,monthly,haircare,876,False,13.78,0.3213,Low
SUB00047,CUST00153,quarterly,supplements,885,False,5.85,0.5657,Medium
SUB00048,CUST00156,quarterly,skincare,861,False,5.91,0.7522,High
SUB00049,CUST00161,monthly,supplements,60,True,0.0,0.9999,High
SUB00050,CUST00166,quarterly,skincare,873,False,6.17,0.7424,High
SUB00051,CUST00168,monthly,wellness_bundle,300,True,0.0,0.4798,Medium
SUB00052,CUST00169,monthly,supplements,240,True,0.0,0.9462,High
SUB00053,CUST00172,monthly,haircare,869,False,15.07,0.3346,Medium
SUB00054,CUST00177,quarterly,supplements,881,False,5.0,0.5041,Medium
SUB00055,CUST00179,quarterly,skincare,876,False,5.95,0.7364,High
SUB00056,CUST00181,monthly,wellness_bundle,150,True,0.0,0.996,High
SUB00057,CUST00182,monthly,supplements,871,False,14.7,0.421,Medium
SUB00058,CUST00183,quarterly,supplements,360,True,0.0,0.5461,Medium
SUB00059,CUST00184,quarterly,wellness_bundle,180,True,0.0,0.8755,High
SUB00060,CUST00186,monthly,supplements,867,False,12.6,0.3914,Medium
SUB00061,CUST00188,monthly,skincare,120,True,0.0,0.9989,High
SUB00062,CUST00189,quarterly,supplements,865,False,4.81,0.7818,High
SUB00063,CUST00191,monthly,haircare,862,False,15.14,0.3268,Low
SUB00064,CUST00193,monthly,haircare,30,True,0.0,1.0,High
SUB00065,CUST00194,quarterly,supplements,881,False,6.18,0.5447,Medium
SUB00066,CUST00197,quarterly,skincare,859,False,6.38,0.73,High
SUB00067,CUST00207,monthly,wellness_bundle,300,True,0.0,0.4418,Medium
SUB00068,CUST00210,quarterly,wellness_bundle,871,False,10.42,0.6878,High
SUB00069,CUST00220,monthly,supplements,878,False,14.58,0.4253,Medium
SUB00070,CUST00223,quarterly,skincare,877,False,5.11,0.6854,High
SUB00071,CUST00231,monthly,supplements,240,True,0.0,0.9446,High
SUB00072,CUST00233,quarterly,skincare,874,False,6.23,0.7308,High
SUB00073,CUST00238,monthly,wellness_bundle,90,True,0.0,0.9996,High
SUB00074,CUST00244,quarterly,haircare,873,False,5.64,0.7269,High
SUB00075,CUST00245,monthly,skincare,60,True,0.0,0.9999,High
SUB00076,CUST00246,quarterly,supplements,884,False,3.99,0.4591,Medium
SUB00077,CUST00247,quarterly,wellness_bundle,862,False,8.3,0.6656,High
