subscription_id,customer_id,plan_type,product_category_key,lifetime_days,is_churned,estimated_mrr,churn_probability,risk_band,top_churn_driver
SUB00001,CUST00003,monthly,skincare,861,False,15.72,0.3275,Low,total_net_revenue
SUB00002,CUST00004,quarterly,wellness_bundle,861,False,8.43,0.1777,Low,order_interval_days
SUB00003,CUST00022,quarterly,supplements,180,True,0.0,0.4391,Medium,order_interval_days
SUB00004,CUST00028,monthly,wellness_bundle,886,False,30.48,0.435,Medium,total_net_revenue
SUB00005,CUST00033,quarterly,haircare,874,False,5.63,0.1189,Low,order_interval_days
SUB00006,CUST00034,monthly,supplements,210,True,0.0,0.8532,High,cohort_month
SUB00007,CUST00036,monthly,supplements,270,True,0.0,0.7101,High,cohort_month
SUB00008,CUST00040,monthly,supplements,300,True,0.0,0.6436,Medium,cohort_month
SUB00009,CUST00044,monthly,supplements,270,True,0.0,0.7099,High,cohort_month
SUB00010,CUST00048,monthly,skincare,866,False,14.94,0.3581,Medium,total_orders
SUB00011,CUST00050,monthly,skincare,30,True,0.0,0.8678,High,cohort_month
SUB00012,CUST00052,monthly,skincare,180,True,0.0,0.8008,High,cohort_month
SUB00013,CUST00053,monthly,supplements,150,True,0.0,0.9483,High,cohort_month
SUB00014,CUST00067,monthly,supplements,270,True,0.0,0.5937,Medium,cohort_month
SUB00015,CUST00068,quarterly,skincare,878,False,6.32,0.1161,Low,order_interval_days
SUB00016,CUST00070,monthly,supplements,330,True,0.0,0.5431,Medium,total_orders
SUB00017,CUST00071,quarterly,skincare,90,True,0.0,0.6137,Medium,order_interval_days
SUB00018,CUST00074,monthly,supplements,859,False,12.19,0.5709,Medium,cohort_month
SUB00019,CUST00079,monthly,wellness_bundle,858,False,30.71,0.3344,Medium,total_net_revenue
SUB00020,CUST00081,quarterly,skincare,860,False,6.22,0.1039,Low,order_interval_days
SUB00021,CUST00082,quarterly,skincare,885,False,6.36,0.1494,Low,order_interval_days
SUB00022,CUST00084,monthly,haircare,881,False,16.59,0.2477,Low,total_net_revenue
SUB00023,CUST00088,monthly,haircare,150,True,0.0,0.9156,High,cohort_month
SUB00024,CUST00090,monthly,skincare,60,True,0.0,0.9321,High,cohort_month
SUB00025,CUST00095,monthly,skincare,90,True,0.0,0.9461,High,cohort_month
SUB00026,CUST00100,quarterly,wellness_bundle,877,False,10.47,0.1373,Low,order_interval_days
SUB00027,CUST00101,monthly,haircare,90,True,0.0,0.9481,High,cohort_month
SUB00028,CUST00102,monthly,skincare,30,True,0.0,0.9889,High,cohort_month
SUB00029,CUST00109,monthly,supplements,885,False,12.68,0.5382,Medium,total_orders
SUB00030,CUST00111,monthly,haircare,90,True,0.0,0.8839,High,cohort_month
SUB00031,CUST00113,quarterly,haircare,875,False,5.41,0.1454,Low,order_interval_days
SUB00032,CUST00118,quarterly,skincare,180,True,0.0,0.5183,Medium,order_interval_days
SUB00033,CUST00119,monthly,skincare,300,True,0.0,0.5745,Medium,total_net_revenue
SUB00034,CUST00120,quarterly,supplements,883,False,5.91,0.1998,Low,order_interval_days
SUB00035,CUST00122,monthly,supplements,885,False,14.43,0.4013,Medium,total_net_revenue
SUB00036,CUST00123,monthly,supplements,90,True,0.0,0.9303,High,cohort_month
SUB00037,CUST00126,monthly,supplements,240,True,0.0,0.7702,High,cohort_month
SUB00038,CUST00130,quarterly,supplements,884,False,5.96,0.1503,Low,order_interval_days
SUB00039,CUST00134,monthly,supplements,240,True,0.0,0.7755,High,cohort_month
SUB00040,CUST00136,quarterly,supplements,270,True,0.0,0.2955,Low,order_interval_days
SUB00041,CUST00138,quarterly,haircare,878,False,5.11,0.1794,Low,order_interval_days
SUB00042,CUST00142,monthly,supplements,30,True,0.0,0.9474,High,cohort_month
SUB00043,CUST00144,quarterly,supplements,860,False,4.89,0.2581,Low,order_interval_days
SUB00044,CUST00145,monthly,haircare,210,True,0.0,0.6246,Medium,cohort_month
SUB00045,CUST00147,quarterly,supplements,884,False,6.01,0.1494,Low,order_interval_days
SUB00046,CUST00148,monthly,haircare,876,False,13.78,0.3932,Medium,total_orders
SUB00047,CUST00153,quarterly,supplements,885,False,5.85,0.163,Low,order_interval_days
SUB00048,CUST00156,quarterly,skincare,861,False,5.91,0.1262,Low,order_interval_days
SUB00049,CUST00161,monthly,supplements,60,True,0.0,0.9788,High,cohort_month
SUB00050,CUST00166,quarterly,skincare,873,False,6.17,0.0982,Low,order_interval_days
SUB00051,CUST00168,monthly,wellness_bundle,300,True,0.0,0.4236,Medium,total_net_revenue
SUB00052,CUST00169,monthly,supplements,240,True,0.0,0.7009,High,cohort_month
SUB00053,CUST00172,monthly,haircare,869,False,15.07,0.2871,Low,total_net_revenue
SUB00054,CUST00177,quarterly,supplements,881,False,5.0,0.2555,Low,order_interval_days
SUB00055,CUST00179,quarterly,skincare,876,False,5.95,0.1091,Low,order_interval_days
SUB00056,CUST00181,monthly,wellness_bundle,150,True,0.0,0.7049,High,cohort_month
SUB00057,CUST00182,monthly,supplements,871,False,14.7,0.4905,Medium,total_orders
SUB00058,CUST00183,quarterly,supplements,360,True,0.0,0.4273,Medium,order_interval_days
SUB00059,CUST00184,quarterly,wellness_bundle,180,True,0.0,0.2433,Low,order_interval_days
SUB00060,CUST00186,monthly,supplements,867,False,12.6,0.5257,Medium,total_orders
SUB00061,CUST00188,monthly,skincare,120,True,0.0,0.9156,High,cohort_month
SUB00062,CUST00189,quarterly,supplements,865,False,4.81,0.2379,Low,order_interval_days
SUB00063,CUST00191,monthly,haircare,862,False,15.14,0.3792,Medium,total_net_revenue
SUB00064,CUST00193,monthly,haircare,30,True,0.0,0.9641,High,cohort_month
SUB00065,CUST00194,quarterly,supplements,881,False,6.18,0.137,Low,order_interval_days
SUB00066,CUST00197,quarterly,skincare,859,False,6.38,0.1142,Low,order_interval_days
SUB00067,CUST00207,monthly,wellness_bundle,300,True,0.0,0.6218,Medium,total_net_revenue
SUB00068,CUST00210,quarterly,wellness_bundle,871,False,10.42,0.1373,Low,order_interval_days
SUB00069,CUST00220,monthly,supplements,878,False,14.58,0.4131,Medium,total_orders
SUB00070,CUST00223,quarterly,skincare,877,False,5.11,0.2062,Low,order_interval_days
SUB00071,CUST00231,monthly,supplements,240,True,0.0,0.7758,High,cohort_month
SUB00072,CUST00233,quarterly,skincare,874,False,6.23,0.1164,Low,order_interval_days
SUB00073,CUST00238,monthly,wellness_bundle,90,True,0.0,0.8288,High,cohort_month
SUB00074,CUST00244,quarterly,haircare,873,False,5.64,0.1312,Low,order_interval_days
SUB00075,CUST00245,monthly,skincare,60,True,0.0,0.9732,High,cohort_month
SUB00076,CUST00246,quarterly,supplements,884,False,3.99,0.3866,Medium,order_interval_days
SUB00077,CUST00247,quarterly,wellness_bundle,862,False,8.3,0.1789,Low,order_interval_days
SUB00078,CUST00248,monthly,haircare,210,True,0.0,0.5726,Medium,cohort_month
SUB00079,CUST00249,monthly,haircare,865,False,16.23,0.3259,Low,total_net_revenue
SUB00080,CUST00250,monthly,haircare,880,False,16.57,0.5046,Medium,total_net_revenue
SUB00081,CUST00251,monthly,wellness_bundle,874,False,29.49,0.338,Medium,total_net_revenue
SUB00082,CUST00252,monthly,skincare,90,True,0.0,0.9676,High,cohort_month
SUB00083,CUST00254,quarterly,haircare,886,False,6.66,0.1409,Low,order_interval_days
SUB00084,CUST00255,monthly,skincare,30,True,0.0,0.9887,High,cohort_month
SUB00085,CUST00259,monthly,skincare,120,True,0.0,0.8645,High,cohort_month
SUB00086,CUST00262,monthly,wellness_bundle,886,False,30.9,0.2535,Low,total_net_revenue
SUB00087,CUST00263,quarterly,skincare,879,False,6.37,0.1184,Low,order_interval_days
SUB00088,CUST00264,quarterly,skincare,866,False,6.27,0.1143,Low,order_interval_days
SUB00089,CUST00265,quarterly,haircare,876,False,5.16,0.1593,Low,order_interval_days
SUB00090,CUST00266,monthly,skincare,871,False,18.93,0.2948,Low,total_net_revenue
SUB00091,CUST00268,monthly,haircare,270,True,0.0,0.6395,Medium,cohort_month
SUB00092,CUST00269,quarterly,skincare,859,False,5.69,0.1251,Low,order_interval_days
SUB00093,CUST00270,monthly,haircare,863,False,15.72,0.2841,Low,total_net_revenue
SUB00094,CUST00271,monthly,supplements,150,True,0.0,0.8208,High,cohort_month
SUB00095,CUST00273,quarterly,haircare,867,False,5.28,0.1541,Low,order_interval_days
SUB00096,CUST00275,quarterly,supplements,869,False,4.85,0.2627,Low,order_interval_days
SUB00097,CUST00276,monthly,supplements,270,True,0.0,0.7187,High,cohort_month
SUB00098,CUST00278,quarterly,supplements,270,True,0.0,0.2821,Low,order_interval_days
SUB00099,CUST00279,quarterly,supplements,868,False,4.96,0.2677,Low,order_interval_days
SUB00100,CUST00280,monthly,skincare,858,False,17.33,0.2075,Low,total_net_revenue
SUB00101,CUST00281,quarterly,skincare,872,False,4.78,0.229,Low,order_interval_days
SUB00102,CUST00284,monthly,skincare,120,True,0.0,0.9404,High,cohort_month
SUB00103,CUST00287,quarterly,skincare,180,True,0.0,0.5122,Medium,order_interval_days
SUB00104,CUST00288,quarterly,supplements,860,False,4.75,0.2824,Low,order_interval_days
SUB00105,CUST00291,monthly,skincare,180,True,0.0,0.8532,High,cohort_month
SUB00106,CUST00292,monthly,skincare,300,True,0.0,0.5192,Medium,cohort_month
SUB00107,CUST00296,quarterly,supplements,877,False,4.83,0.2621,Low,order_interval_days
SUB00108,CUST00299,quarterly,wellness_bundle,861,False,10.14,0.1404,Low,order_interval_days
SUB00109,CUST00300,monthly,skincare,30,True,0.0,0.9873,High,cohort_month
SUB00110,CUST00301,monthly,supplements,864,False,14.25,0.5327,Medium,total_orders
SUB00111,CUST00302,monthly,supplements,60,True,0.0,0.9816,High,cohort_month
SUB00112,CUST00304,quarterly,wellness_bundle,877,False,10.12,0.1406,Low,order_interval_days
SUB00113,CUST00305,monthly,supplements,330,True,0.0,0.5176,Medium,total_orders
SUB00114,CUST00306,monthly,wellness_bundle,60,True,0.0,0.9661,High,cohort_month
SUB00115,CUST00307,monthly,supplements,870,False,14.67,0.4933,Medium,total_orders
SUB00116,CUST00308,quarterly,skincare,863,False,6.55,0.1238,Low,order_interval_days
SUB00117,CUST00310,monthly,skincare,886,False,19.14,0.3063,Low,total_net_revenue
SUB00118,CUST00311,quarterly,wellness_bundle,90,True,0.0,0.4721,Medium,order_interval_days
SUB00119,CUST00312,monthly,skincare,180,True,0.0,0.8046,High,cohort_month
SUB00120,CUST00314,quarterly,skincare,877,False,6.08,0.1026,Low,order_interval_days
SUB00121,CUST00315,quarterly,skincare,882,False,7.65,0.1388,Low,order_interval_days
SUB00122,CUST00316,monthly,skincare,883,False,16.35,0.291,Low,total_net_revenue
SUB00123,CUST00317,quarterly,skincare,878,False,4.97,0.2056,Low,order_interval_days
SUB00124,CUST00318,quarterly,supplements,866,False,4.8,0.242,Low,order_interval_days
SUB00125,CUST00319,monthly,wellness_bundle,858,False,29.78,0.3364,Medium,total_net_revenue
SUB00126,CUST00321,quarterly,supplements,883,False,5.56,0.1604,Low,order_interval_days
SUB00127,CUST00323,quarterly,haircare,871,False,5.32,0.1483,Low,order_interval_days
SUB00128,CUST00324,monthly,skincare,861,False,17.68,0.2601,Low,total_net_revenue
SUB00129,CUST00326,monthly,wellness_bundle,90,True,0.0,0.9167,High,cohort_month
SUB00130,CUST00327,monthly,supplements,90,True,0.0,0.9737,High,cohort_month
SUB00131,CUST00334,monthly,supplements,864,False,13.01,0.4602,Medium,total_orders
SUB00132,CUST00335,quarterly,supplements,872,False,3.4,0.3916,Medium,order_interval_days
SUB00133,CUST00336,monthly,skincare,90,True,0.0,0.9676,High,cohort_month
