order_id,customer_id,subscription_id,order_date,product_category,country,gross_revenue,discount,net_revenue,returned,status
ORD000001,CUST00001,,2024-02-02,skincare,US,41.86,0.0,6.28,True,returned
ORD000002,CUST00002,,2024-01-19,skincare,GB,38.22,0.0,38.22,False,completed
ORD000003,CUST00003,SUB00001,2024-01-26,skincare,US,45.28,0.0,45.28,False,completed
ORD000004,CUST00003,SUB00001,2024-02-25,skincare,US,46.94,0.0,46.94,False,completed
ORD000005,CUST00003,SUB00001,2024-03-26,skincare,US,43.97,0.0,43.97,False,completed
ORD000006,CUST00003,SUB00001,2024-04-25,skincare,US,49.34,0.0,49.34,False,completed
ORD000007,CUST00003,SUB00001,2024-05-25,skincare,US,44.92,0.0,6.74,True,returned
ORD000008,CUST00003,SUB00001,2024-06-24,skincare,US,46.28,2.61,43.67,False,completed
ORD000009,CUST00003,SUB00001,2024-07-24,skincare,US,41.32,6.19,0.01,True,returned
ORD000010,CUST00003,SUB00001,2024-08-23,skincare,US,47.86,0.0,47.86,False,completed
ORD000011,CUST00003,SUB00001,2024-09-22,skincare,US,48.26,0.0,48.26,False,completed
ORD000012,CUST00003,SUB00001,2024-10-22,skincare,US,40.9,6.1,34.8,False,completed
ORD000013,CUST00003,SUB00001,2024-11-21,skincare,US,41.71,3.12,38.59,False,completed
ORD000014,CUST00003,SUB00001,2024-12-21,skincare,US,45.59,0.0,45.59,False,completed
ORD000015,CUST00004,SUB00002,2024-01-26,wellness_bundle,GB,75.74,0.0,75.74,False,completed
ORD000016,CUST00004,SUB00002,2024-04-25,wellness_bundle,GB,80.76,0.0,80.76,False,completed
ORD000017,CUST00004,SUB00002,2024-07-24,wellness_bundle,GB,71.4,0.0,10.71,True,returned
ORD000018,CUST00004,SUB00002,2024-10-22,wellness_bundle,GB,74.65,0.0,74.65,False,completed
ORD000019,CUST00005,,2024-02-09,skincare,AU,38.5,6.61,31.89,False,completed
ORD000020,CUST00006,,2024-01-11,supplements,GB,32.53,7.3,25.23,False,completed
ORD000021,CUST00007,,2024-01-12,skincare,US,53.75,0.0,53.75,False,completed
ORD000022,CUST00008,,2024-01-16,supplements,US,34.3,0.0,34.3,False,completed
ORD000023,CUST00008,,2024-03-29,supplements,US,39.17,0.0,5.88,True,returned
ORD000024,CUST00009,,2024-01-17,skincare,US,40.19,5.01,35.18,False,completed
ORD000025,CUST00010,,2024-01-13,skincare,AU,40.19,9.78,-3.75,True,returned
ORD000026,CUST00010,,2024-12-15,skincare,AU,45.5,0.0,6.83,True,returned
ORD000027,CUST00011,,2024-01-19,haircare,GB,50.67,0.0,7.6,True,returned
