subscription_id,customer_id,product_category,plan_type,start_date,status,cancellation_date
SUB00001,CUST00003,skincare,monthly,2024-01-26,active,
SUB00002,CUST00004,wellness_bundle,quarterly,2024-01-26,active,
SUB00003,CUST00022,supplements,quarterly,2024-01-03,cancelled,2024-07-01
SUB00004,CUST00028,wellness_bundle,monthly,2024-01-01,active,
SUB00005,CUST00033,haircare,quarterly,2024-01-13,active,
SUB00006,CUST00034,supplements,monthly,2024-01-14,cancelled,2024-08-11
SUB00007,CUST00036,supplements,monthly,2024-01-11,cancelled,2024-10-07
SUB00008,CUST00040,supplements,monthly,2024-01-24,cancelled,2024-11-19
SUB00009,CUST00044,supplements,monthly,2024-01-22,cancelled,2024-10-18
SUB00010,CUST00048,skincare,monthly,2024-01-21,active,
SUB00011,CUST00050,skincare,monthly,2024-01-19,cancelled,2024-02-18
SUB00012,CUST00052,skincare,monthly,2024-01-17,cancelled,2024-07-15
SUB00013,CUST00053,supplements,monthly,2024-01-30,cancelled,2024-06-28
SUB00014,CUST00067,supplements,monthly,2024-01-29,cancelled,2024-10-25
SUB00015,CUST00068,skincare,quarterly,2024-01-09,active,
SUB00016,CUST00070,supplements,monthly,2024-01-17,cancelled,2024-12-12
SUB00017,CUST00071,skincare,quarterly,2024-01-18,cancelled,2024-04-17
SUB00018,CUST00074,supplements,monthly,2024-01-28,active,
SUB00019,CUST00079,wellness_bundle,monthly,2024-01-29,active,
SUB00020,CUST00081,skincare,quarterly,2024-01-27,active,
SUB00021,CUST00082,skincare,quarterly,2024-01-02,active,
SUB00022,CUST00084,haircare,monthly,2024-01-06,active,
SUB00023,CUST00088,haircare,monthly,2024-01-11,cancelled,2024-06-09
SUB00024,CUST00090,skincare,monthly,2024-01-17,cancelled,2024-03-17
SUB00025,CUST00095,skincare,monthly,2024-01-02,cancelled,2024-04-01
SUB00026,CUST00100,wellness_bundle,quarterly,2024-01-10,active,
SUB00027,CUST00101,haircare,monthly,2024-01-25,cancelled,2024-04-24
SUB00028,CUST00102,skincare,monthly,2024-01-15,cancelled,2024-02-14
SUB00029,CUST00109,supplements,monthly,2024-01-02,active,
SUB00030,CUST00111,haircare,monthly,2024-01-20,cancelled,2024-04-19
SUB00031,CUST00113,haircare,quarterly,2024-01-12,active,
SUB00032,CUST00118,skincare,quarterly,2024-01-12,cancelled,2024-07-10
SUB00033,CUST00119,skincare,monthly,2024-01-26,cancelled,2024-11-21
SUB00034,CUST00120,supplements,quarterly,2024-01-04,active,
SUB00035,CUST00122,supplements,monthly,2024-01-02,active,
SUB00036,CUST00123,supplements,monthly,2024-01-13,cancelled,2024-04-12
SUB00037,CUST00126,supplements,monthly,2024-01-03,cancelled,2024-08-30
SUB00038,CUST00130,supplements,quarterly,2024-01-03,active,
SUB00039,CUST00134,supplements,monthly,2024-01-21,cancelled,2024-09-17
SUB00040,CUST00136,supplements,quarterly,2024-01-20,cancelled,2024-10-16
SUB00041,CUST00138,haircare,quarterly,2024-01-09,active,
SUB00042,CUST00142,supplements,monthly,2024-01-14,cancelled,2024-02-13
SUB00043,CUST00144,supplements,quarterly,2024-01-27,active,
SUB00044,CUST00145,haircare,monthly,2024-01-17,cancelled,2024-08-14
SUB00045,CUST00147,supplements,quarterly,2024-01-03,active,
SUB00046,CUST00148,haircare,monthly,2024-01-11,active,
SUB00047,CUST00153,supplements,quarterly,2024-01-02,active,
SUB00048,CUST00156,skincare,quarterly,2024-01-26,active,
SUB00049,CUST00161,supplements,monthly,2024-01-09,cancelled,2024-03-09
SUB00050,CUST00166,skincare,quarterly,2024-01-14,active,
SUB00051,CUST00168,wellness_bundle,monthly,2024-01-30,cancelled,2024-11-25
SUB00052,CUST00169,supplements,monthly,2024-01-22,cancelled,2024-09-18
SUB00053,CUST00172,haircare,monthly,2024-01-18,active,
SUB00054,CUST00177,supplements,quarterly,2024-01-06,active,
SUB00055,CUST00179,skincare,quarterly,2024-01-11,active,
SUB00056,CUST00181,wellness_bundle,monthly,2024-01-30,cancelled,2024-06-28
SUB00057,CUST00182,supplements,monthly,2024-01-16,active,
SUB00058,CUST00183,supplements,quarterly,2024-01-03,cancelled,2024-12-28
SUB00059,CUST00184,wellness_bundle,quarterly,2024-01-26,cancelled,2024-07-24
SUB00060,CUST00186,supplements,monthly,2024-01-20,active,
SUB00061,CUST00188,skincare,monthly,2024-01-26,cancelled,2024-05-25
SUB00062,CUST00189,supplements,quarterly,2024-01-22,active,
